passage,question,number,unit,yesno,spans,query_id
數學是利用符號語言研究數量、結構、變化以及空間等概念的一門學科，從某種角度看屬於形式科學的一種。數學透過抽象化和邏輯推理的使用，由計數、計算、量度和對物體形狀及運動的觀察而產生。數學家們拓展這些概念，為了公式化新的猜想以及從選定的公理及定義中建立起嚴謹推導出的定理。基礎數學的知識與運用是個人與團體生活中不可或缺的一環。對數學基本概念的完善，早在古埃及、美索不達米亞及古印度內的古代數學文本便可觀見，而在古希臘那裡有更為嚴謹的處理。從那時開始，數學的發展便持續不斷地小幅進展，至16世紀的文藝復興時期，因為新的科學發現和數學革新兩者的交互，致使數學的加速發展，直至今日。數學並成為許多國家及地區的教育範疇中的一部分。今日，數學使用在不同的領域中，包括科學、工程、醫學、經濟學和金融學等。數學對這些領域的應用通常被稱為應用數學，有時亦會激起新的數學發現，並導致全新學科的發展，例如物理學的實質性發展中建立的某些理論激發數學家對於某些問題的不同角度的思考。數學家也研究純數學，就是數學本身的實質性內容，而不以任何實際應用為目標。雖然許多研究以純數學開始，但其過程中也發現許多應用之處。,1. 數學是一門研究哪些概念的學科？,,,,"[''數量'',''結構'',''變化'',''空間'']",0
,2. 數學基本概念在哪些文明被完善？,,,,"[""古埃及'',''美索不達米亞'',''古印度'',''古希臘""]",1
,3. 數學根據研究實際應用與研究實質內容可分為哪兩種類型？,,,,"[''應用數學'',''純數學'']",2
戲劇是演員將某個故事或情境，以對話、歌唱或動作等方式所表演出來的藝術。戲劇有四個元素，包括了「演員」、「故事（情境）」、「舞臺（表演場地）」和「觀眾」。「演員」是四者當中最重要的元素，他是角色的代言人，必須具備扮演的能力，戲劇與其他藝術類最大的不同之處便在於扮演了，透過演員的扮演，劇本中的角色才得以伸張，如果拋棄了演員的扮演，那麼所演出的便不再是戲劇。即使在動畫、木偶戲、皮影戲等沒有演員現身的戲劇中，演員不過是隱藏在觀眾的視覺之外的地方演出。,1. 戲劇包含了哪四個元素？,,,,"[''演員'',''故事（情境）'',''舞臺（表演場地）'',''觀眾'']",3
,2. 文中提到哪些沒有演員現身的戲劇類型？,,,,"[''動畫'',''木偶戲'',''皮影戲'']",4
戲劇的表演形式多種多樣，常見的包括話劇、歌劇、舞劇、音樂劇、木偶戲等。由於文化背景的差別，不同文化所產生戲劇形式往往擁有獨特的傳統和程式，比如西方戲劇、中國戲曲、印度梵劇、日本能樂、歌舞伎等。,3. 文中根據哪兩個分類方式介紹戲劇類型？,,,,"[''表演形式'',''文化背景'']",5
電影成為第七藝術的來由是義大利詩人和電影先驅者（Ricciotto Canudo），他在於1911年發表的一篇《第六藝術的誕生》（Birth of the 6th art），將電影放在建築、雕塑、繪畫、音樂、詩之後，他後來又加入了早在電影之前就有的舞蹈，因此電影就成為第七藝術。也有一些說法是將早在電影問世前就有的戲劇放在電影之前，以此方法來算，電影就成為第八藝術。如今，許多電影仍然用能把影像記錄到膠卷上的攝影機來拍攝。膠卷經過沖洗之後，再用放映機來運行膠卷。放映機可以發出光線，透過膠卷，這樣影像就在銀幕上顯示出了。自從有聲電影發明以來，大多數的電影都是有聲電影。最近許多電影都用數碼攝像機來拍攝，放映的時候，可以用數位放映機，也可以把數位元元影像轉置到傳統的膠片上。這種方法可避免膠片長時間存放的失真。,1. 電影作為第七藝術之前包含哪些項目？,,,,"[''建築'',''雕塑'',''繪畫'',''音樂'',''詩'',''舞蹈'']",6
,2. 電影作為第八藝術之前包含哪些項目？,,,,"[''建築'',''雕塑'',''繪畫'',''音樂'',''詩'',''舞蹈'',''戲劇'']",7
,3. 文中提到哪些跟電影拍攝與放映所需的設備？,,,,"[''膠卷'',''攝影機'',''放映機'',''銀幕'',''數碼攝像機'',''數位放映機'']",8
音樂可以用樂譜描述，依據樂譜演奏，但也有不少音樂類型如民歌或爵士樂是由演奏者即興創作的。樂譜作為一種符號的語言，只能描述聲音的屬性或指示演奏所需的技巧，卻無法記錄聲音本身。因此在錄音技術出現之前，欣賞音樂必需現場聆聽，或自己親身參與演奏。傳統上欣賞音樂有特定的場所，從古時的宮庭、教堂、廟宇到今天的音樂廳、酒吧等等。十九世紀末，留聲機的發明令聲音可以記錄和複製，改變了欣賞音樂的模式；一般認為錄音、通訊技術和大眾媒體是流行音樂形成的主要因素，從早期的唱片、音樂錄像及無線電，到當今的影音網站或串流平臺，都是人們接觸音樂的管道。,1. 文中提到人類曾透過哪些場所或管道聽音樂？,,,,"[''宮庭'',''教堂'',''廟宇'',''音樂廳'',''酒吧'',''唱片'',''音樂錄像'',''無線電'',''影音網站'',''串流平臺'']",9
